time,n0v,n1v,n2v,n3v,n4v,n5v,n6v,n7v,n8v,n9v,n10v,n11v,n12v,n13v,n14v,n15v,n16v,n17v,n18v,n19v,n20v,n21v,n22v,n23v,n24v,n25v,n26v,n27v,n28v,n29v,n30v,n31v,n32v,n33v,n34v,n35v,n36v,n37v,n38v,n39v,n40v,n41v,n42v,n43v,n44v,n45v,n46v,n47v,n48v,n49v,n50v,n51v,n52v,n53v,n54v,n55v,n56v,n57v,n58v,n59v,n60v,n61v,n62v,n63v,n64v,n65v,n66v,n67v,n68v,n69v,n70v,n71v,n72v,n73v,n74v,n75v,n76v,n77v,n78v,n79v,n80v,n81v,n82v,n83v,n84v,n85v,n86v,n87v,n88v,n89v,n90v,n91v,n92v,n93v,n94v,n95v,n96v,n97v,n98v,n99v,n100v,n101v,n102v,n103v,n104v,n105v,n106v,n107v,n108v,n109v,n110v,n111v,n112v,n113v,n114v,n115v,n116v,n117v,n118v,n119v,n120v,n121v,n122v,n123v,n124v,n125v,n126v,n127v,n128v,n129v,n130v,n131v,n132v,n133v,n134v,n135v,n136v,n137v,n138v,n139v,n140v,n141v,n142v,n143v,n144v,n145v,n146v,n147v,n148v,n149v,n150v,n151v,n152v,n153v,n154v,n155v,n156v,n157v,n158v,n159v,n160v,n161v,n162v,n163v,n164v,n165v,n166v,n167v,n168v,n169v,n170v,n171v,n172v,n173v,n174v,n175v,n176v,n177v,n178v,n179v
0,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
0.01,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.06,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30.038,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
0.02,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.1201,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30.076,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
0.03,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.1801,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30.114,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
0.04,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.2402,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30.152,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
0.05,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.3003,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30.19,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
0.06,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.3604,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30.2279,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
0.07,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.4205,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30.2658,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
0.08,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.4805,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30.3037,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
0.09,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.5406,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30.3414,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
